Italiano,Descrizione breve,Inglese,Cinese moderno,Arabo moderno,Rumeno,Ucraino,Albanese,Immagine,Categoria
armadio,"Mobile alto con ante, usato per riporre materiali o oggetti.",cupboard / cabinet,柜子,خزانة,dulap,шафа,dollap,armadio.png,Scuola
libro,Insieme di pagine rilegate usato per leggere e studiare.,book,书,كتاب,carte,книга,libër,libro.png,Scuola
scaffale,Mobile con ripiani dove si appoggiano libri o oggetti.,shelf / bookcase,书架,رفّ,raft,полиця / стелаж,raft,scaffale.png,Scuola
banco,Tavolo scolastico usato dagli alunni per scrivere e lavorare.,desk,课桌,مقعد دراسي / طاولة مدرسية,bancă,парта,bankë,banco.png,Scuola
quaderno,Fascicolo di pagine bianche o a righe per scrivere.,notebook,练习本,دفتر,caiet,зошит,fletore,quaderno.png,Scuola
sedia,Mobile con seduta e schienale per sedersi.,chair,椅子,كرسي,scaun,стілець,karrige,sedia.png,Scuola
gesso,Bastoncino usato per scrivere alla lavagna.,chalk,粉笔,طبشور,cretă,крейда,shkumës,gesso.png,Scuola
lavagna,Superficie su cui si scrive a scuola con il gesso o pennarelli.,blackboard / chalkboard,黑板,سبورة,tablă,дошка,tabelë e zezë,lavagna.png,Scuola
cattedra,Tavolo o scrivania dell’insegnante.,teacher’s desk,讲台 / 教师桌,مكتب المعلّم,catedră,учительський стіл,tavolina e mësuesit,cattedra.png,Scuola
amica,Persona con cui si intrattiene un rapporto basato su fiducia e affetto.,friend,女性朋友,صديقة,prietenă,подруга,shoqe,amica.png,Amicizia
gioco,Attività ludica svolta per divertimento o intrattenimento.,game,游戏,لعبة,joc,гра,lojë,gioco.png,Amicizia
amico,Persona con cui si intrattiene un rapporto basato su fiducia e affetto.,friend,男性朋友,صديق,prieten,друг,shok,amico.png,Amicizia
pace,"Condizione di armonia e assenza di conflitto, sia tra individui sia tra popoli.",peace,和平,سلام,pace,мир,paqe,pace.png,Amicizia
gentilezza,Atteggiamento di cortesia e benevolenza verso gli altri.,kindness,善良,لطف,bunătate,доброта,mirësia,gentilezza.png,Amicizia
nome,"Parola che identifica una persona, animale o cosa.",name,名字,اسم,nume,ім'я,emër,nome.png,Amicizia
mano,Parte del corpo umano usata per afferrare oggetti. ,hand,手,يد,mână,рука,dorë ,mano.png,Amicizia
cane,Animale domestico spesso usato come compagnia o guardia.,dog,狗,كلب,câine,собака,qen,cane.png,Animali
cavallo,Animale a quattro zampe che può essere cavalcato dall'uomo. ,horse,马,حصان,cal,кінь,kal ,cavallo.png,Animali
uccello,Animale con le ali che può volare nel cielo.,bird,鸟,طائر,pasăre,птах,zog,uccello.png,Animali
capra,Animale che vive spesso in campagna e dà latte.,goat,山羊,ماعز,capră,коза,dhi,capra.png,Animali
gatto,Animale domestico agile e indipendente. ,cat,猫,قط,pisică,кіт,mace,gatto.png,Animali
pesce,Animale che vive nell’acqua e nuota.,fish,鱼,سمك,pește,риба,peshk,pesce.png,Animali
coniglio ,Piccolo animale con orecchie lunghe che salta velocemente.,rabbit,兔子,أرنب,iepure,кролик,lepur,coniglio .png,Animali
carne,Alimento che si ottiene da alcuni animali e che può essere preparato in modi diversi.,meat,肉,لحم,carne,м’ясо,mish,carne.png,Cibo
verdura,Insieme di alimenti che proveniente dalle piante che aiutano il corpo a crescere sano.,vegetables,蔬菜,خضروات,legume,овочі,perime,verdura.png,Cibo
frutta,"Alimento che cresce sugli alberi o sulle piante, spesso dolce e ricco di vitamine.",fruit,水果,فاكهة,fructe,фрукти,fruta,frutta.png,Cibo
pizza,"Cibo fatto con pasta, pomodoro e altri ingredienti, cotto al forno.",pizza,披萨,بيتزا,pizza,піца,pica,pizza.png,Cibo
pasta,"Cibo fatto con farina e acqua, spesso condito con sugo.",pasta,意大利面,معكرونة,paste,макарони,makarona,pasta.png,Cibo
pesce,Animale che vive nell’acqua e respira con le branchie.,fish,鱼,سمك,pește,риба,peshk,pesce.png,Cibo
pane,"Cibo fatto con farina, acqua e lievito, cotto al forno.",bread,面包,خبز,pâine,хліб,bukë,pane.png,Cibo
nero,"Colore molto scuro, come la notte senza luce.",black,黑色,أسود,negru,чорний,i zi,nero.png,Colori
giallo,Colore del sole e dei limoni.,yellow,黄色,أصفر,galben,жовтий,i verdhë,giallo.png,Colori
viola,Colore simile a quello di alcune prugne o violette.,purple,紫色,بنفسجي,mov,фіолетовий,vjollcë,viola.png,Colori
arancione,Colore dell’arancia e di alcune foglie d’autunno.,orange,橙色,برتقالي,portocaliu,помаранчевий,portokalli,arancione.png,Colori
verde ,Colore dell’erba e delle foglie.,green,绿色,أخضر,verde,зелений,i gjelbër,verde .png,Colori
bianco,Colore della neve e del latte.,white,白色,أبيض,alb,білий,i bardhë,bianco.png,Colori
rosso,Colore del pomodoro e delle fragole.,red,红色,أحمر,roșu,червоний,i kuq,rosso.png,Colori
blu,Colore del cielo quando è scuro o del mare profondo.,blue,蓝色,أزرق,albastru,синій,blu,blu.png,Colori
aula,Stanza della scuola dove si fanno le lezioni.,classroom,教室,فصل دراسي,sală de clasă,класна кімната,klasë,aula.png,Scuola
laboratorio arte e immagine,"Aula dove si disegna, si dipinge e si fanno attività artistiche.",art room,美术教室,قاعة الفنون,laborator de artă,художня майстерня,laborator arti,laboratorio arte e immagine.png,Scuola
bagno,Stanza dove ci si lava e si usa il water.,bathroom,洗手间,حمّام,baie,туалет,banjë,bagno.png,Scuola
corridoio,Spazio che collega le stanze della scuola.,corridor,走廊,ممر,coridor,коридор,korridor,corridoio.png,Scuola
palestra,Luogo dove si fa sport o educazione motoria.,gym,体育馆,صالة رياضية,sală de sport,спортивний зал,palestër,palestra.png,Scuola
mensa ,Luogo della scuola dove si mangia insieme.,cafeteria,食堂,مقصف مدرسي,cantină,їдальня,mensë,mensa .png,Scuola
cortile,Spazio aperto vicino alla scuola o alla casa dove si può giocare.,schoolyard,操场,ساحة المدرسة,curte,шкільне подвір’я,oborr,cortile.png,Scuola
viso,"Parte davanti della testa, dove ci sono occhi, naso e bocca.",face,脸,وجه,față,обличчя,fytyrë,viso.png,Tanti sorrisi
labbra,"Parti morbide intorno alla bocca, usate per parlare, mangiare e sorridere.",lips,嘴唇,شفتان,buze,губи,buzë,labbra.png,Tanti sorrisi
bocca,"Parte del viso che usiamo per parlare, mangiare e sorridere.",mouth,嘴,فم,gură,рот,gojë,bocca.png,Tanti sorrisi
sorriso,Espressione del viso che mostra gioia o gentilezza.,smile,微笑,ابتسامة,zâmbet,усмішка,buzëqeshje,sorriso.png,Tanti sorrisi
denti,Parti dure dentro la bocca che servono per mordere e masticare.,teeth,牙齿,أسنان,dinți,зуби,dhëmbë,denti.png,Tanti sorrisi
guance,Parti morbide del viso che stanno ai lati della bocca e del naso.,cheeks,脸颊,خدّان,obraji,щоки,faqe,guance.png,Tanti sorrisi
ghiacciaio,Grande massa di ghiaccio che si trova in montagna o nelle zone fredde.,glacier,冰川,نهر جليدي,ghețar,льодовик,akullnajë,ghiacciaio.png,La montagna
versante ,Lato di una montagna o di una collina.,mountainside,山坡,منحدر,versant,схил,shpat,versante .png,La montagna
